Audiofilename,Starttime,Endtime,Aniri,AniriChangzo,Dockseoseong,Eonmori,Eotjungmori,Hwinori,Jajinmori,Jinyangjo,Jungjungmori,Jungmori,Semachi,Sichang
ChanWanMinBaDi_SamChangGa2.wav,0,11,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,12,45,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,46,52,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,53,67,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,68,77,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,78,90,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,91,96,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,97,103,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,104,133,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,134,203,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,204,265,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,266,388,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,389,421,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,422,472,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,473,485,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,486,513,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,514,544,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,545,563,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,564,568,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,569,573,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,574,593,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,594,599,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,600,627,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,628,651,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,652,773,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,774,783,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,784,822,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,823,838,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,839,872,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,873,888,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,889,904,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,905,1045,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,1046,1187,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,1188,1202,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,1203,1265,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,1266,1291,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,1292,1396,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,1397,1536,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,1537,1539,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
ChanWanMinBaDi_SamChangGa2.wav,1540,1616,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG
